demo[ZCTA5],[Mexicanos],[Negros],[Blancos],[Latinos],[Asiaticos],[Otros - no hispanos]
36031,0,178,0,0,0,0
44286,29,86,5822,27,124,52
65624,17,0,1358,0,0,16
64155,1219,1435,18317,451,560,871
15212,109,6801,17570,496,398,957
30277,538,1704,18435,850,171,598
82201,430,3,5935,67,0,224
85139,4605,1196,8929,860,688,2172
65623,18,0,14,0,0,3
44285,0,0,128,0,0,0
13361,0,3,846,24,7,0
31522,212,451,14503,179,164,447
60605,564,4618,14999,587,4988,867
13364,0,0,94,0,0,0
15208,1,6307,3295,62,284,355
53402,2946,3081,25091,723,346,665
36030,0,152,200,0,0,0
85128,5811,612,6194,412,78,2875
31520,1648,11698,7639,290,85,807
43523,0,0,0,0,0,0
82214,136,2,1006,20,11,4
44281,137,387,29564,218,344,498
13363,18,11,2005,46,0,0
13355,88,0,777,19,0,0
54491,16,12,1430,3,0,21
30284,0,0,75,0,0,0
85131,10073,1295,4367,961,428,1097
65622,71,5,7587,0,0,399
64157,977,737,15849,342,320,944
13362,0,0,197,0,0,0
82213,0,0,557,0,0,2
35476,8,3459,3841,198,19,143
85132,12072,1892,18193,1142,198,2409
15210,324,8370,15751,276,739,1256
53295,8,63,123,5,0,14
61231,41,36,4901,26,20,33
15209,62,280,11765,32,39,204
35475,664,638,13830,114,113,98
43521,121,2,2659,30,28,43
61232,10,14,1253,0,0,11
13350,29,168,9394,108,100,186
64152,919,924,24111,143,650,872
53227,1403,972,19197,673,763,540
35474,152,2270,4085,25,10,175
65626,56,0,1524,4,0,29
30275,0,0,0,0,0,0
61234,14,17,1351,0,2,21
85145,604,88,1817,46,21,103
15216,310,1232,19745,532,480,590
82082,74,0,1186,85,2,43
31532,14,44,757,0,0,0
82083,5,6,255,22,0,0
36032,0,1844,561,0,0,0
65627,0,0,503,0,0,0
82081,0,0,67,0,0,0
64151,1550,3030,19800,464,430,645
15217,352,1260,21547,813,3471,662
43518,8,0,2559,26,0,17
85147,314,9,147,9,8,3885
54498,20,10,2414,0,6,25
13346,45,235,5375,180,298,171
44301,302,4049,10251,59,257,1065
53226,494,497,16596,303,809,548
85172,696,0,473,0,0,302
13348,0,7,1321,3,9,24
61108,2838,3175,18615,1097,1000,644
15215,72,392,10911,250,630,134
44288,36,79,3411,3,9,90
31524,0,0,0,0,0,0
54494,287,213,24479,112,836,236
53233,805,5262,7527,689,858,645
85140,7659,1883,30810,907,385,1639
15213,213,3124,18419,529,4703,720
82190,20,3,570,31,42,31
13354,0,27,3382,18,13,27
65625,607,44,7113,23,94,164
64154,495,1184,7245,303,575,335
44287,38,56,7256,6,15,90
30276,233,1366,12627,516,45,135
85143,6048,2157,23914,1619,971,1705
15214,23,4919,8334,357,48,326
85141,197,0,127,13,0,5
13353,0,0,36,0,0,0
31525,1042,7558,18356,862,606,816
53228,460,198,12662,556,540,422
64153,266,319,4358,104,274,50
85142,8623,1459,40628,2283,1255,1683
60603,25,27,571,80,313,13
13352,0,0,168,0,0,0
43519,0,0,301,0,0,0
54495,227,110,7096,130,75,237
31527,0,0,660,17,0,0
82084,0,0,0,0,0,0
64427,7,26,596,4,0,6
13437,0,0,429,8,0,0
15132,311,6580,13283,294,78,1031
44224,282,1536,34938,474,816,664
82513,0,42,1725,45,4,28
60618,26866,2157,44262,14246,5505,2596
36010,65,2005,2543,69,0,99
84762,0,0,188,0,0,0
54460,100,4,2541,10,19,38
13501,130,5315,21509,4509,5413,1500
43551,1171,670,33827,221,1335,735
31312,249,1654,15249,111,73,566
65567,4,0,1409,9,0,4
64451,0,0,374,0,0,12
15075,0,0,228,0,0,0
82512,0,0,67,3,0,58
84763,4,0,348,0,4,0
13495,0,27,2032,177,27,0
30318,1216,25627,17112,1258,2843,1221
35549,71,98,4062,0,13,101
53532,308,56,13660,79,453,243
44230,64,109,8311,87,15,42
82510,29,0,59,0,0,450
84764,42,0,182,0,0,7
13494,0,0,235,0,0,3
15076,0,0,871,0,0,13
15074,36,755,7400,123,0,181
64453,0,0,155,3,0,0
53533,3,10,7304,15,34,15
13502,104,3551,23911,2368,1408,1028
13603,1144,1588,5383,994,177,719
35550,0,286,5100,140,0,53
65565,28,22,4817,51,5,169
84758,6,0,687,27,0,4
82516,0,0,251,4,0,193
31308,91,627,6316,41,7,176
15071,28,53,10112,51,241,98
13602,423,497,2271,390,85,316
84759,96,0,1896,32,20,124
53534,271,148,11126,67,110,249
82515,0,0,396,6,0,66
54462,0,0,294,0,0,3
44223,42,395,16683,377,105,251
54459,9,4,1112,15,1,43
64454,0,17,2307,17,11,44
13601,436,2080,31038,2236,855,1821
84760,6,0,659,2,0,1
61085,19,6,3319,15,0,20
30319,3055,2983,29164,1485,2566,898
31309,0,80,706,0,10,30
84761,178,1,2846,3,29,67
15072,0,79,60,0,0,0
82514,53,5,71,40,6,1536
65566,63,0,749,35,0,0
43553,0,29,126,0,0,0
15068,186,3130,33501,248,369,790
31313,1771,17635,15429,3665,1081,2061
65570,0,0,611,0,0,0
31315,523,2191,4061,891,36,740
15081,0,6,386,0,0,2
36013,0,176,300,12,0,0
44233,33,9,7675,45,50,13
84772,0,0,168,0,0,0
61088,73,152,5343,31,60,44
13489,0,5,597,0,24,2
82442,3,0,653,2,0,23
65580,24,0,798,0,0,7
15082,0,0,149,0,0,0
53529,29,7,1907,96,60,19
84773,0,0,298,0,8,0
30315,1699,26825,3995,607,130,454
64445,0,0,330,10,8,17
54465,0,0,582,3,0,0
31316,295,3015,7687,386,110,667
13488,0,0,134,0,2,13
82441,25,2,197,0,0,0
84774,50,0,1830,16,0,17
44234,86,106,4163,26,84,60
43547,0,0,287,0,0,0
15083,1,0,849,0,0,0
35546,0,57,3831,70,2,18
13490,0,0,1516,14,70,94
64446,1,8,1020,5,1,11
43548,0,0,662,14,6,9
82443,143,7,4358,3,0,108
